CD_MUN,MUN,AREA_KM2,16,21,22,29,30,35,45,50,55,80,vencedor_votacao,total,% VOTACAO,vencedor,% 16,% 21,% 22,% 29,% 30,% 35,% 45,% 50,% 55,% 80
3157005,SALINAS - MG,1862.117,12,20,884,0,11916,7,105,39,7737,12,11916,20732,57.48,30,0.06,0.10,4.26,0.00,57.48,0.03,0.51,0.19,37.32,0.06
3157104,SALTO DA DIVISA - MG,938.008,3,0,140,0,1475,0,9,7,1466,1,1475,3101,47.57,30,0.10,0.00,4.51,0.00,47.57,0.00,0.29,0.23,47.28,0.03
3157203,SANTA BÁRBARA - MG,684.505,23,9,645,0,7574,14,84,50,7496,18,7574,15913,47.60,30,0.14,0.06,4.05,0.00,47.60,0.09,0.53,0.31,47.11,0.11
3157252,SANTA BÁRBARA DO LESTE - MG,107.402,10,9,219,0,2850,13,16,3,1562,3,2850,4685,60.83,30,0.21,0.19,4.67,0.00,60.83,0.28,0.34,0.06,33.34,0.06
3157278,SANTA BÁRBARA DO MONTE VERDE - MG,417.925,3,4,65,0,1290,0,26,19,909,5,1290,2321,55.58,30,0.13,0.17,2.80,0.00,55.58,0.00,1.12,0.82,39.16,0.22
3157302,SANTA BÁRBARA DO TUGÚRIO - MG,194.564,1,0,73,0,1552,1,13,7,1192,0,1552,2839,54.67,30,0.04,0.00,2.57,0.00,54.67,0.04,0.46,0.25,41.99,0.00
3157336,SANTA CRUZ DE MINAS - MG,3.565,10,5,478,0,2529,5,26,16,1284,22,2529,4375,57.81,30,0.23,0.11,10.93,0.00,57.81,0.11,0.59,0.37,29.35,0.50
3157377,SANTA CRUZ DE SALINAS - MG,589.607,2,0,68,0,1223,1,4,1,1224,0,1224,2523,48.51,55,0.08,0.00,2.70,0.00,48.47,0.04,0.16,0.04,48.51,0.00
3157401,SANTA CRUZ DO ESCALVADO - MG,258.726,1,2,113,0,1120,2,11,4,2018,1,2018,3272,61.67,55,0.03,0.06,3.45,0.00,34.23,0.06,0.34,0.12,61.67,0.03
3157500,SANTA EFIGÊNIA DE MINAS - MG,131.965,6,3,81,0,1003,5,12,3,874,2,1003,1989,50.43,30,0.30,0.15,4.07,0.00,50.43,0.25,0.60,0.15,43.94,0.10
3157609,SANTA FÉ DE MINAS - MG,2917.448,1,1,146,0,812,3,7,4,1190,0,1190,2164,54.99,55,0.05,0.05,6.75,0.00,37.52,0.14,0.32,0.18,54.99,0.00
3157658,SANTA HELENA DE MINAS - MG,276.433,1,0,79,0,1579,3,36,6,1617,1,1617,3322,48.68,55,0.03,0.00,2.38,0.00,47.53,0.09,1.08,0.18,48.68,0.03
3157708,SANTA JULIANA - MG,723.784,3,4,295,0,5013,8,20,18,1694,1,5013,7056,71.05,30,0.04,0.06,4.18,0.00,71.05,0.11,0.28,0.26,24.01,0.01
3157807,SANTA LUZIA - MG,235.205,141,124,17286,0,47027,146,642,361,49903,202,49903,115832,43.08,55,0.12,0.11,14.92,0.00,40.60,0.13,0.55,0.31,43.08,0.17
3157906,SANTA MARGARIDA - MG,255.73,0,4,460,0,5407,6,33,8,3204,3,5407,9125,59.25,30,0.00,0.04,5.04,0.00,59.25,0.07,0.36,0.09,35.11,0.03
3158003,SANTA MARIA DE ITABIRA - MG,597.441,5,12,177,0,2746,3,30,10,2616,5,2746,5604,49.00,30,0.09,0.21,3.16,0.00,49.00,0.05,0.54,0.18,46.68,0.09
3158102,SANTA MARIA DO SALTO - MG,440.605,0,4,1031,0,846,4,8,0,696,1,1031,2590,39.81,22,0.00,0.15,39.81,0.00,32.66,0.15,0.31,0.00,26.87,0.04
3158201,SANTA MARIA DO SUAÇUÍ - MG,624.047,4,4,382,0,2435,8,27,8,3924,7,3924,6799,57.71,55,0.06,0.06,5.62,0.00,35.81,0.12,0.40,0.12,57.71,0.10
3158300,SANTANA DA VARGEM - MG,172.444,1,0,150,0,2804,5,27,3,1221,5,2804,4216,66.51,30,0.02,0.00,3.56,0.00,66.51,0.12,0.64,0.07,28.96,0.12
3158409,SANTANA DE CATAGUASES - MG,161.486,0,3,110,0,1364,12,22,6,871,0,1364,2388,57.12,30,0.00,0.13,4.61,0.00,57.12,0.50,0.92,0.25,36.47,0.00
3158508,SANTANA DE PIRAPAMA - MG,1255.832,2,4,206,0,2378,1,15,2,2355,2,2378,4965,47.90,30,0.04,0.08,4.15,0.00,47.90,0.02,0.30,0.04,47.43,0.04
3158607,SANTANA DO DESERTO - MG,182.655,0,4,99,0,1226,4,325,17,622,7,1226,2304,53.21,30,0.00,0.17,4.30,0.00,53.21,0.17,14.11,0.74,27.00,0.30
3158706,SANTANA DO GARAMBÉU - MG,203.074,0,0,50,0,734,1,376,8,396,0,734,1565,46.90,30,0.00,0.00,3.19,0.00,46.90,0.06,24.03,0.51,25.30,0.00
3158805,SANTANA DO JACARÉ - MG,106.169,0,2,122,0,1679,3,10,6,647,1,1679,2470,67.98,30,0.00,0.08,4.94,0.00,67.98,0.12,0.40,0.24,26.19,0.04
3158904,SANTANA DO MANHUAÇU - MG,347.362,1,2,176,0,2783,6,14,7,2129,1,2783,5119,54.37,30,0.02,0.04,3.44,0.00,54.37,0.12,0.27,0.14,41.59,0.02
3158953,SANTANA DO PARAÍSO - MG,276.067,19,16,1412,0,9758,57,41,36,4380,23,9758,15742,61.99,30,0.12,0.10,8.97,0.00,61.99,0.36,0.26,0.23,27.82,0.15
3159001,SANTANA DO RIACHO - MG,677.207,0,2,347,0,1376,5,7,13,2088,0,2088,3838,54.40,55,0.00,0.05,9.04,0.00,35.85,0.13,0.18,0.34,54.40,0.00
3159100,SANTANA DOS MONTES - MG,196.565,4,0,114,0,1412,4,13,6,990,1,1412,2544,55.50,30,0.16,0.00,4.48,0.00,55.50,0.16,0.51,0.24,38.92,0.04
